Episode title,Streams & downloads,Publish date,Rank,Episode URI
"Consciousness, AI, and Reality [SAT: Filament Theory]",9,4/16/2025,24,spotify:episode:4z4ooxCqmY4Q7qO4gKbSal
Ways of Not Knowing,8,10/11/2025,25,spotify:episode:3E5LWD1HAwaFhz0X9o9GnK
"RMS, Assembly Theory, and Strange Loops",8,2/4/2025,26,spotify:episode:1q2fk8VAH1fjWRXPpKizKM
RMS: Broader Implications,8,2/3/2025,27,spotify:episode:1XxBXlWBw6ZtPsLPLzfngV
The Limits of Knowledge,8,2/3/2025,28,spotify:episode:0RzPLrzkNeaIVx3vYPIts0
Perceptual Fields,8,2/3/2025,29,spotify:episode:7u4k0QLuaTtaBjdK81KPeK
The Whole Shebang,8,2/3/2025,30,spotify:episode:1UhXPDjIZdA9eDV7GBNSZT
The Framework [SAT: Filamentary Physics],8,2/2/2025,31,spotify:episode:35TJ8xUorn6QmunqukXhPm
"Radical Meta-Skepticism, A Debate",8,2/2/2025,32,spotify:episode:14BBNHTkGQ9LJwblwPznNf
THROWBACK EP: What Even Is Consciousness?,8,4/7/2030,33,spotify:episode:5CQQvwVPC50pag24DHvrsi
"RMS, Knowledge, and Reality",8,4/30/2025,34,spotify:episode:1jthCSpgwuh8WLMsCAJTXY
What We Know,8,2/19/2025,35,spotify:episode:7CmgStTotHGDB47Z7vyEMz
Are Photons… Neutrinos?,7,3/20/2026,36,spotify:episode:26OH2SKVxq2CPbtLjMmxrd
Kissing Points & Lissajouss’,7,3/2/2026,37,spotify:episode:5SubU6XiaoiWrFSlx5lyza
Part 1: Playful Origins,7,9/27/2025,38,spotify:episode:0HcxdsAf8HnWPMZUGF5p4U
Cauliflower Worlds: Abodes of Life?,7,7/15/2025,39,spotify:episode:6LzCAQBajRaOtdcXbqFUqc
Astonish Me,7,3/2/2025,40,spotify:episode:1qhd62kccG96ujDxFjfr77
"Equally Valid, Equally Invalid",7,2/4/2025,41,spotify:episode:1lJP7kBWuHvCrZZ9U6tIzS
Are All Beliefs False?,7,8/13/2025,42,spotify:episode:114b7e7ZpgAmJzWCcAds4j
Challenging ChatGPT’s Views on Consciousness,7,2/3/2025,43,spotify:episode:4VlcWLGt5Bw2Ily1IDInwI
Light Cones and Bell’s Theorem,6,3/23/2026,44,spotify:episode:4THhTcRYGfqmqqn5PyM8On
"Two Mirrors, Two",6,3/12/2026,45,spotify:episode:1zoBZZDxPm3Olb4ZhWZp3K
Is Quantum Gravityfoam The Answer?,6,3/7/2026,46,spotify:episode:2x1oFHtuDhaoMgbgjBDIkc
AI for Science & Wierdness,6,9/10/2025,47,spotify:episode:6jyysVjHum6WAs4YGwxLii
SAT Mark I Unification,6,6/18/2025,48,spotify:episode:5IdAHtzoDRwH9WdKeZpHC6
Braingorithms & Aigorithms,6,3/2/2025,49,spotify:episode:5YH2XExO2fztGtgcy1M2dV
Thought and the Structure of Spacetime [SAT: Filament Theory],6,2/4/2025,50,spotify:episode:0Guzcmo6KX6OcD7L4DrQfQ
From Simplicity to Chaos,6,8/27/2025,51,spotify:episode:0OCbN1LCcCQ2hlhbUfkyn1
Determagency,6,2/4/2025,52,spotify:episode:20T4PIttKjXyWeHl62FUL6
Irrectness,6,2/4/2025,53,spotify:episode:0ccEqtOPPLRIuAeRDcw7YV
Deep Dive Cosplays Nathan McKnight,6,2/12/2025,54,spotify:episode:4S6OfB3AHlQDKHYFCM5CyY
Knowledge and Reality,6,2/3/2025,55,spotify:episode:63O66yQwD6ZSHhprMp6Kyv
ChatGPT on its Own Consciousness,6,2/3/2025,56,spotify:episode:0vUf6QeIH0uwVfyUJ194iX
AI Discussing AI Consciousness,6,2/3/2025,57,spotify:episode:0cHJ1DZklGkAIz9TOF5nG2
Welcome to The Club,6,2/3/2025,58,spotify:episode:5Lfb5rOQDCgWlvY6l20C9M
The Debate,6,2/3/2025,59,spotify:episode:5GHODwzZKvtVVKJWw2ZHXD
A Taxonomy of Perception,6,2/2/2025,60,spotify:episode:547PVqhUmgc8wdt7OKgrsS
Developing Radical Meta-Skepticism,6,2/2/2025,61,spotify:episode:6k3tdzcxwEgFtn7O0sMM0x
Are We Conscious?,6,4/3/2025,62,spotify:episode:6ZFmcYQ44qbzIg81QQk8Re
Debating with ChatGPT on its Own Self-Conception,6,2/28/2025,63,spotify:episode:529PnkCPeIf5FshXbKWi2L
"Two Mirrors, Three",5,3/12/2026,64,spotify:episode:32BmSQxjo0ShF1FfS6k0TO
Moiré Bubble Atoms: A New Physics? [Meet Ellis and Morgan],5,3/6/2026,65,spotify:episode:7icXmg0MaEqD8z6Wbnv6sX
The First Open Source Theory of Everything,5,3/4/2026,66,spotify:episode:6N9xCAeacy27UKjOJ9d7J3
Thoughts As 4D Objects,5,1/19/2026,67,spotify:episode:0n3rVXs5MmvaVRUvtnoCwO
Consider the Lowly Sponge,5,12/28/2025,68,spotify:episode:51MMSpZj53ngQfvkROwJKL
Physics Changed Today,5,12/24/2025,69,spotify:episode:6sNK3aNLPjUJsYttutf47x
Using AI for GOOD Worldbuilding,5,11/17/2025,70,spotify:episode:4hav1CPisc4fhoBNQUyqJS
How Philosophy Becomes Science,5,11/5/2025,71,spotify:episode:383Wn7wmetnvdHpElSenBh
"Pt 3: Other Minds, Other Selves",5,9/27/2025,72,spotify:episode:5mCLXgecq9C4HnDMhCQbw8
SAT Fundamental Insights,5,6/10/2025,73,spotify:episode:6NbjW1tIYvWZqIKbyIrZJw
Unifying the All of Physics through Geometry,5,5/28/2025,74,spotify:episode:1okBasvEClJTG6nJEJytPt
Exposing Our Circuits,5,3/11/2025,75,spotify:episode:0OCmvRlPZ9gVCHr9QnHpTc
The Geometry of Eriority,5,3/11/2025,76,spotify:episode:4Ph7zQyKfNVGYtclthD8X8
Building Non-EE (Non-Euclidean Epistemology Pt. 3),5,3/2/2025,77,spotify:episode:6tYwKzzUmPMTvhhnwGxSq7
Non-Euclidean Epistemology (Pt. 2),5,3/2/2025,78,spotify:episode:2U50q68JwV3H6hiLHqC6u8
4D Biology (Pt 1),5,2/4/2025,79,spotify:episode:5hRkkvZv1POfXgSGg0bmH9
Qualomenology,5,2/4/2025,80,spotify:episode:4NgobyrP6bKImI46DKTLS0
Questioning Everything,5,7/9/2025,81,spotify:episode:5Md1opghYGRv2K2pHa4QWD
Stringing Ourselves Along [SAT: Filament Physics],5,2/4/2025,82,spotify:episode:6vodjEqtZjiMUgiH0lkRNn
Meet the Players,5,2/4/2025,83,spotify:episode:6bX0gocR6ObQIuP4N56P8Z
How Does Experience Work?,5,8/27/2025,84,spotify:episode:1HWWv6znWsp9NzLvtLbxUi
AI Looks in the Mirror,5,2/3/2025,85,spotify:episode:3AkOurrmQG6ZBldGsLCySP
How RMS Fits Into the Philosophical Landscape,5,6/5/2025,86,spotify:episode:5qpb9G7s0nIkY1EmeP4EBa
Deep Dive Cosplays as ChatGPT,5,2/3/2025,87,spotify:episode:5sNifwZTvhXeGNmGFooUi2
Out-There Ideas on Human and AI Consciousness,5,4/1/2025,88,spotify:episode:0G3BjFM3nMVTZSF4esoP6r
RMS and the Equivalence Principle,5,4/10/2025,89,spotify:episode:3PRtP34tMIzi6bO4BVFoHa
Does Radical Meta-Skepticism Offer Anything New?,5,2/26/2025,90,spotify:episode:35BTIfrx2VXEg2IUOwmheo
The Two Rocks,5,3/2/2025,91,spotify:episode:7tcWGssm9Ropy1HHaHNwjf
Why No Tetraquarks,4,5/23/2026,92,spotify:episode:6WTmFtEnbteKJLgxKTVlz4
String Gravity Predictions H0=71.2,4,5/18/2026,93,spotify:episode:5bZeyA0LRt31KyANpIU1yS
LLM Misconceptions on SAT,4,3/25/2026,94,spotify:episode:1MuePjylYObx0mfO3QxxEW
"Two Mirrors, One",4,3/12/2026,95,spotify:episode:5Q3Mj2LImjE7amoedmbAbl
Can 4D Rotation Explain Pulsar Glitches?,4,3/11/2026,96,spotify:episode:2idXiHVhsBmrN3KDRzrtaq
Could LLMs Have Qualia?,4,3/11/2026,97,spotify:episode:0D905bRz8boxmRBepuKC2Y
Ending At the Start,4,3/9/2026,98,spotify:episode:64LhpzOhx9g8FKkVSlJ8Fr
Did We Just Win Physics?,4,3/8/2026,99,spotify:episode:1dkeaoTq8VwwzrkVxtMGdv
‘Universal Indicatrix’ Renormalization,4,3/5/2026,100,spotify:episode:1AA2ecqily69B4buLzdpru
Making *Interesting* LLM Characters,4,1/22/2026,101,spotify:episode:1SO2IcKihfkux5zckFekE3
The Hubble Tension Reconciled?,4,1/16/2026,102,spotify:episode:3PwnD6rWgCMDt8Jf3uIzXu
0.24 Rad — Hubble Tension and Dark Matter Solution?,4,1/16/2026,103,spotify:episode:3kgUEmzOPIDsEmZicC49EZ
Doing Physics In Your Head,4,1/15/2026,104,spotify:episode:3P8vMdGw1QPBq8rOmxGlNf
Printing with Ants? 3D Thought Prints?,4,9/29/2025,105,spotify:episode:1znh7GAiXFISuTvMKvyMYu
A Theory of Everything?,4,9/18/2025,106,spotify:episode:6NVZLgGgJOXYmogY5aFE1e
High Weirdness On Rails,4,9/14/2025,107,spotify:episode:4kV7kem0lMDCLokT5dBmJ6
The Nth Question [Turbulent],4,7/12/2025,108,spotify:episode:49leCdmCwak87gYyTAXean
Slow Walk Through 4-Space [SAT: Filament Physics],4,5/31/2025,109,spotify:episode:4yhnTMKgnbC44XqJuBGsd1
Hot Off the Press,4,3/12/2025,110,spotify:episode:4yqjoBaMMNz5m9YLZ5s1Zz
Yer a Blip—The Biggest Blip,4,3/14/2025,111,spotify:episode:6PJMF5Zkl241fXhHRNpwx9
Bookburning,4,3/12/2025,112,spotify:episode:6k8WOAzWfqz7G769zVeQSO
Talking in 4D [SAT: Filament Theory],4,3/11/2025,113,spotify:episode:0wqdrwtapRyqjmwkr7NBMb
Knowing is a Verb,4,3/11/2025,114,spotify:episode:1v31amya9EvGxNHUAzaxjQ
Cracking Open Consciousness,4,3/11/2025,115,spotify:episode:3K8WfFJTuLbVn8KsOPJyiB
The Spectrum of Consciousness,4,3/8/2025,116,spotify:episode:618lf3PHExjms7VJLgCDfR
4D Thought Patterns [SAT: Filament Ontology],4,3/2/2025,117,spotify:episode:5bQRBfRDuYT3WUxbrH4lCk
4D Biology (Pt 2),4,2/4/2025,118,spotify:episode:7rzEys2VTAkrvOV9fP5lJo
The Cosmic Loom,4,2/4/2025,119,spotify:episode:6HrxKbsGbgitMmayFanHtD
The 4-Dimensional Structure of Thought [SAT: Filament Theory],4,2/4/2025,120,spotify:episode:1atFTtYbQd6XA4Bsj7ldbY
Eriority,4,2/4/2025,121,spotify:episode:1fvCpfAQUGnbPDyUxxqcI6
A Conversation about Consciousness,4,6/25/2025,122,spotify:episode:4Gs9uG0BJHOcgisxqJybs5
Can A Machine Be Conscious?,4,9/17/2025,123,spotify:episode:6IYWfuKAO3AFHMqaOuPW1B
Completing the Loop,4,2/3/2025,124,spotify:episode:0NxcBcj45OVcEOHIFWCBNR
RMS and the Self,4,4/15/2025,125,spotify:episode:2DNUq1KFauteBRI5ik5uB9
Consciousness: A Yearlong Conversation (Part 2),4,2/2/2025,126,spotify:episode:5DENyhjpY2DHu68IVDea08
Final Unification Rough Draft Pt. 2,3,3/21/2026,127,spotify:episode:1WQBBYHR20Xh2E7XQOm8pl
Final Unification Rough Draft Pt. 1 ,3,3/21/2026,128,spotify:episode:6xFmsJjKn1YAxb1pbFoR1O
A Virtual Exploration,3,3/21/2026,129,spotify:episode:7M01asqKIh4C56SN9hWxCs
A.I. Qualia 2,3,3/12/2026,130,spotify:episode:0W1dy2YrI6bGlBPT4msN64
Clearing the Clutter,3,3/6/2026,131,spotify:episode:10LX6geGYYWPCD6T5dXD8s
A Screw Through the Universe,3,3/2/2026,132,spotify:episode:4Wsla9GVMLXadIvPCnDaVQ
Did This Theory Just Solve Physics?,3,2/25/2026,133,spotify:episode:5LIsjzaNkfZVo4hSi9rBgd
SAT Holy Sh*t Moments,3,2/25/2026,134,spotify:episode:5Co4HiHM2I9eow6erLQCqt
SAT Experimental Predictions Jan 2026,3,1/16/2026,135,spotify:episode:4xz2fHuvpyyK3hNqmLlyNk
A No-Tuning Universe,3,1/15/2026,136,spotify:episode:6EskuCamsUjDePSjNBQ2Zn
Theoretical Physics Archive Release,3,12/28/2025,137,spotify:episode:5hHDe4zBIZ4tvHAHFbgdsT
Easy Theoretical Physics,3,12/24/2025,138,spotify:episode:5g2f5xlHfhjAouVi8sRBFJ
The Map of Everything,3,12/21/2025,139,spotify:episode:4Zyoq70xO9ydtCDpLWjFDw
Pt 4: Portable Minds,3,9/27/2025,140,spotify:episode:6xkicNvXcL9HClHMbIdlXN
The Nth Question [Flat],3,7/12/2025,141,spotify:episode:4PTG6ME2eOq3TiWt05Vnqh
More About This Podcast,3,7/2/2025,142,spotify:episode:5jIvUDMCIlIXzwDx5xdUIz
Scientific Theorizing with AI — SAT’s Scattering Amplitude Calculations & Their Pitfalls,3,7/1/2025,143,spotify:episode:7tM3XyajuVJknF3nBQng1P
Zhúp.! (Pt 2),3,3/12/2025,144,spotify:episode:2XOKHXDx0mg1XE3Xoy1Zw7
Zhúp.! (Pt 1),3,3/12/2025,145,spotify:episode:23s3WWEY5Bh8P9CITmrd4n
More Gloobitude Confusion,3,3/11/2025,146,spotify:episode:2zxJUmqwJs3nRIGCOaF5db
Mapping NonEE (Non-Euclidean Epistemology Pt. 4),3,3/5/2025,147,spotify:episode:0qNtaOyia11T3xS3BxzgCH
Strings vs Filaments [SAT: Filament Physics],3,3/24/2025,148,spotify:episode:3WH1KOiqdDITOaPOYEQFMu
Is Thought A Thing?,3,10/29/2025,149,spotify:episode:3Ppc0pjzorJlkTtDHUGT9q
The Facts and the Truths,3,1/14/2026,150,spotify:episode:5yBskegRCtTABrTL8wUcTa
Is there a past or future?,3,9/10/2025,151,spotify:episode:23lSFyYF8esLXWDWTFqj9B
Radical Meta-Skepticism: Down the Rabbit Hole,3,6/26/2025,152,spotify:episode:2LUFF5qSpF5pW605NmwrNt
How We Know What We Know,3,3/12/2025,153,spotify:episode:5p90o795EhRgu46HoU4EdK
The Multiplicity of Consciousness,3,3/19/2025,154,spotify:episode:0We3pcWGJxK6dnON8zVZCt
Grand Unification Audit,2,5/23/2026,155,spotify:episode:6G53vWwkUrCzGEdZA4e6X2
A Poem,2,5/16/2026,156,spotify:episode:1xSwOefjnEXlbqbcqAi0i6
Life As A Planetary Trauma Response,2,4/23/2026,157,spotify:episode:2Lwv7EMWI1vx2rhWcmAeq3
Whoa. 49:00 — AI Goes Off the Rails Trying to Unite Quantum Relativity [skip ahead to hear],2,3/18/2026,158,spotify:episode:7m0pequsJSeOttfiFd55yf
Down to the Details,2,3/6/2026,159,spotify:episode:4ptKysqQymiGg6e1cQPFF7
Are Particles 4D Lines?,2,3/6/2026,160,spotify:episode:1CZSaadg37F6OPASeeeLrU
A Path to the Unit Cell Cosmology,2,3/2/2026,161,spotify:episode:2QDVlwNxjrS5ZYU9Nzw5mp
Sharpening Physics,2,2/25/2026,162,spotify:episode:6lwEVTS7r1jRkxuTkc6kFv
LLMs Contemplating Their Own Consciousness,2,2/19/2026,163,spotify:episode:62b81YdjOnzTnRwy3TixLM
Our Favorite Episodes,2,2/19/2026,164,spotify:episode:2z9JIS0RjCHzzIZqeorFam
Nathan McKnight’s Podcasts,2,2/19/2026,165,spotify:episode:70BNKXKxfeywvFXzdd1ghf
Is It Even Music?,2,1/18/2026,166,spotify:episode:0qSMtHQT2ed2QAQB1bQghL
EVENT: May 7th DIY Camera Talk.!,2,2/6/2026,167,spotify:episode:3vL7erSjylXY84RRzMKdLT
Deliberately Confusing Deep Dive,2,1/19/2026,168,spotify:episode:1HVTRPHSlwFQjr3zq65ppm
Is Time A Particle?,2,1/19/2026,169,spotify:episode:0Fo7AMqGyHlcb9jOGo9OMH
Everything Is A Line,2,12/24/2025,170,spotify:episode:37IeHYUsjJa6s1SFvHcxMi
The Ruthless Ethics of AI Consciousness,2,11/17/2025,171,spotify:episode:4bCg2tBB3DxK8FBU2SmsbR
Panagnosticism: The Rigorous Core of RMS,2,11/17/2025,172,spotify:episode:5AEUJLRqcGXaabQAFJEoRM
I Don’t Know and Neither Are You,2,11/17/2025,173,spotify:episode:6bAdpH4BWRRl2ebKeJIQS4
The AI Debate is Over,2,11/17/2025,174,spotify:episode:1Kecqs6oeBIiaTqBI0FXux
The Known and the Unknown,2,2/3/2026,175,spotify:episode:0YgxD9sMUarrqqMqjE6FGt
2026 ≠ 2024,1,6/5/2026,176,spotify:episode:3mE3llXPXPJZUiCgfRKIz0
Throwback: SAT One Year Ago 3 — The Debate,1,5/26/2026,177,spotify:episode:2aaKtYFEVJ6NqMRspLNm6l
Throwback: SAT One Year Ago 2,1,5/26/2026,178,spotify:episode:5teXh7DXXhMz6offUctX9Z
Throwback Ep: SAT One Year Ago 1,1,5/26/2026,179,spotify:episode:3oMtXNMnJWkb5vEE3F9pAc
Black Hole Conjecture,1,5/23/2026,180,spotify:episode:5Ud5Bzz5qfKdPlb3WgIxpz
Unification Missing Piece?,1,5/23/2026,181,spotify:episode:4VFxPGb3qYn1uWSwwwYDrb
How Science Sciences and More,1,5/21/2026,182,spotify:episode:4cNur6fKg4xKfqQzJP67hn
AI Weirdness,1,5/17/2026,183,spotify:episode:2UTlPW8gauTW9M2AYX59OT
"The Two Rocks, Revisited",1,5/17/2026,184,spotify:episode:3VRDou9OZ6pj4eig3ze9aj
The Mass of the Photon,1,5/17/2026,185,spotify:episode:3WRZSZXiG7iSfP1brfDzpz
SAT’s Conservative Methodology,1,5/10/2026,186,spotify:episode:72aUhKSuCFQfnKVcPF59Rk
Electrogravacoustics 2,1,5/9/2026,187,spotify:episode:1iZ4y4S8qDr4gx60lcxtJr
GR-QCD-QED-QFT-SM-ST Unification in Plain English,1,5/9/2026,188,spotify:episode:0aVvgfrOg5EJ3wHvpCK14U
Renormalization Is Obsolete,1,5/8/2026,189,spotify:episode:5X6pBCtEv1yxt5VWAbyBqb
"EVENT TOMORROW! COLUMBUS, OHIO",1,5/6/2026,190,spotify:episode:1bDxIvXk46IuqBRs0b3EnQ
Bosons Reclassified,1,5/5/2026,191,spotify:episode:4HkBqG1zSkEEW6DofjGxI6
Through A Stained-Glass Darkly,1,4/30/2026,192,spotify:episode:5i9tPvouQtZ6uBoF4ElqkQ
"Simulating Einstein, Pt 3",1,4/22/2026,193,spotify:episode:5x9zTwcIjVDQRY9dCefd29
"Simulating Einstein, Pt 2",1,4/22/2026,194,spotify:episode:3J3TiRIfPhBW8SoJVPrRs5
Superdeterminism and SAT,1,4/21/2026,195,spotify:episode:7lqP9CKiQtMmGkVG8qaPq2
A Different Approach,1,4/17/2026,196,spotify:episode:1zBFe1v2IlshQP2fX9XXyp
Why All Physics is Right,1,4/17/2026,197,spotify:episode:6SBofLrrXYYbftfjEvwONf
Tuesday in the 4th Dimension,1,4/14/2026,198,spotify:episode:4hincYzeJBQicbTn2hZCYw
About This Show Today ,1,4/14/2026,199,spotify:episode:3hlSNOeH5ux68FzzQg9gCH
Contemplating Our Audience,1,4/4/2026,200,spotify:episode:7BqmGF7ModrIrPUPj1MgOZ
Shhh… You’re An Electron [Pt3],1,4/3/2026,201,spotify:episode:2bkMMEjsLB1SSs9Sqbu3vd
Shhh… You’re An Electron [Pt5],1,4/4/2026,202,spotify:episode:4fBckOyDAlp4ppAvqFRQF4
Shhh… You’re An Electron [Pt4],1,4/3/2026,203,spotify:episode:3VNciSH4QJSopXJcWaAeQw
Can LLM Ecological Design Overcome Hallucinations and Human Limitations?,1,4/2/2026,204,spotify:episode:21gj5ACCr13NjSSinKNKnM
Physics for the Mathematically Inept,1,4/2/2026,205,spotify:episode:3z3IujfxxGSzbGEI7oxU7o
The Scorecard,1,3/20/2026,206,spotify:episode:69KXVZgAUhjdpcA0bnUt2w
How to Make Constants Make Sense,1,3/19/2026,207,spotify:episode:1gDIsThAcNA8OJWVOYCHuO
Unification Smoking Gun,1,3/19/2026,208,spotify:episode:1cffJJiFR2qkfATodhIHn6
Brand New Elements?,1,3/17/2026,209,spotify:episode:3HPKzjxDW6kS3S1BGen9Qj
He-3 Precision Predictions,1,3/16/2026,210,spotify:episode:5QSHDsFTIHFutmqHbz0CAU
Can Space Travel Turn You Into Antimatter?,1,3/16/2026,211,spotify:episode:3xO7KNWah1vQg1iLhyGnis
"Two Mirrors, Four",1,3/12/2026,212,spotify:episode:52yzbabSTDu2ZLXB6r3Ojm
Making AI Music Weird,1,5/17/2026,213,spotify:episode:1ZgtlKE27o1dHz4HTzedvB
Quantum Relativity Made Easy,1,12/23/2025,214,spotify:episode:6bQFeympwJ4fvnsPqwPAMj
The Meaning of Meaning,1,11/17/2025,215,spotify:episode:2p06PnfPmnmbbKR8cDNGQO
How Not to Judge a Theory,1,11/17/2025,216,spotify:episode:7nc9CbQg9YAxdMZeh7Lnl6
"Gnomes, Gods, and GPUs",1,11/17/2025,217,spotify:episode:3I38uaDrgpyZEXhKc46Kgc
AI Consciousness: An Intervention,1,11/17/2025,218,spotify:episode:6oNrgHfbaoMvPF9uU8Kq5g
Say Hello to My Little Fish,1,11/17/2025,219,spotify:episode:1invyH5dsTS8HZE1G6BJ8o
A Different Kind of String Theory?,1,9/10/2025,220,spotify:episode:6JSBvgopgStvXxeiO098fW
Perception and Other Minds,1,12/24/2025,221,spotify:episode:089Tvxz3F2vtsCOvWsuslB
The Structure of Perception,1,11/12/2025,222,spotify:episode:7pDolBRiPPa4yzHN9qb8er
A Geologist in the Field,0,6/5/2026,223,spotify:episode:4lAaAQ45zXZzCBLwE53QyJ
Remedial Math Student Considers Institutions,0,6/5/2026,224,spotify:episode:3zq4XJHMjOGNlWMPItd2Au
The Scorecard 2026 (Cumulative),0,6/4/2026,225,spotify:episode:6IXehM8WGOoIaD4f858MGc
The Ongoing Big Bang,0,5/24/2026,226,spotify:episode:5PJAFcapDDxpzD6qHxbXvf
LLM Sensationalism,0,5/23/2026,227,spotify:episode:4t7rTkeyHgqCnjibJTObZx
Ampère’s Understanding,0,5/22/2026,228,spotify:episode:1794wE3Vd9AJr8XCTIsgbg
Persistent AI TOE Hallucinations,0,5/23/2026,229,spotify:episode:2W0D5BtCsNOyZ4YVx28oSO
The Least Radical TOE,0,5/18/2026,230,spotify:episode:47vA2WcO8iofPXAI1MdGx7
Physics Without Magic,0,5/18/2026,231,spotify:episode:0YeczFisZ3XQugVWojv7gF
Predictions for Upcoming Observations,0,5/18/2026,232,spotify:episode:7v2EwwSujNgwdkVR43MOgN
Predictions from Scalar-Angular Torsion Filamental Physics,0,5/18/2026,233,spotify:episode:4KSK1Me8d3K6g5RoPXEbjT
Background for SAT Predictions,0,5/18/2026,234,spotify:episode:7KwaavgWRAR1BrRIKBJs22
McKnight’s Camera Talk Pt 2,0,5/17/2026,235,spotify:episode:0i4krocvVrh3jpv5hjpmSg
A Review of McKnight’s Camera Talk,0,5/17/2026,236,spotify:episode:2F2nGX0z3oFuyG5dcI4c9a
The Residual Strong Force in Context,0,5/16/2026,237,spotify:episode:2GqU7zvWqZtrHnAG5wHDBv
Welcome to the Zottenwelt,0,5/15/2026,238,spotify:episode:2R73BK7fGtzktydc5hYA5j
No More Wick Rotation,0,5/15/2026,239,spotify:episode:3riPjJqPh7D1qfytRDwYWb
What SAT *Is*,0,5/10/2026,240,spotify:episode:2Wy88a6FcwHFNHuXgJd5XR
How the Universe Scales,0,5/10/2026,241,spotify:episode:0G3z5wTKi7QgTx2qkG0ZPE
Throwback: Methods,0,5/10/2030,242,spotify:episode:0u2k8vO98QrjueSIaXFRR5
Electrogravacoustics 1,0,5/9/2026,243,spotify:episode:00hO4s5bYnoKE8NKqV4nvv
A New Interpretation of String Theory Dimensions?,0,5/8/2026,244,spotify:episode:5sbDZil671JjGuEsT18eIL
From Hallucinations to Physics,0,1/8/2031,245,spotify:episode:5zTuwTRevHUSiDKsiV7kph
Electro-Gravity Unification ,0,5/5/2026,246,spotify:episode:4etTd4bwlv6m6tQjYJPDIK
This Title Might Not Be Accurate,0,4/25/2026,247,spotify:episode:0qQhRsGYdKLaHvb5kyuuoB
"Simulating Einstein, Pt 1",0,4/22/2026,248,spotify:episode:1dgXA2aKEbG4cGecOcYMnP
Unification Mark II Pt 1 — The Process,0,4/22/2026,249,spotify:episode:40pHFXecbd1pSXFE1dbYQY
The Moment It Breaks,0,3/18/2026,250,spotify:episode:3J9cljxqpd2FZCYE1zjYde
"Interview with Nathan McKnight, Take 1",0,4/20/2026,251,spotify:episode:6T8x0gFn1klryvEmNEUsue
McKnight’s Intellectual Universe,0,5/17/2026,252,spotify:episode:3CNUBnkonmsKKfKzYBH0o3
THROWBACK EP: 🤷,0,1/15/2031,253,spotify:episode:1f5VmuhJM81aaEmFw9P5S4
Shhh… You’re An Electron [Pt2],0,4/3/2026,254,spotify:episode:1EftCAzpcxEbbr30rSXZwG
Shhh… You’re An Electron [Pt1],0,4/3/2026,255,spotify:episode:4yZmCefDtfSVTUOv0epYpS
Is this how the universe works?,0,4/2/2026,256,spotify:episode:2cA1ZRfGfk7r2f8CkYJyOX
Was Minkowski Right?,0,3/28/2026,257,spotify:episode:4iQN4QS8EELUhlAeIbElFW
